,,CZTS,,,,,,,,,,,
Photon Energy (eV),Wavelength (nm) - Plot 0,Voltage (V) - Plot 0,Normalised PL,,,,,,,,,,
1.77146147,699.987,0.001397,0.074889868,,,,,,,,,,
1.768896522,701.002,0.001401,0.092511013,,,,,,,,,,
1.766424543,701.983,0.001414,0.149779736,,,,,,,,,,
1.76387666,702.997,0.001415,0.154185022,,,,,,,,,,
1.761333614,704.012,0.001398,0.079295154,,,,,,,,,,
1.758885207,704.992,0.001398,0.079295154,,,,,,,,,,
1.756359011,706.006,0.001408,0.123348018,,,,,,,,,,
1.753926887,706.985,0.001383,0.013215859,,,,,,,,,,
1.751417377,707.998,0.001395,0.066079295,,,,,,,,,,
1.748915038,709.011,0.001403,0.101321586,,,,,,,,,,
1.746505932,709.989,0.001388,0.035242291,,,,,,,,,,
1.744017598,711.002,0.001403,0.101321586,,,,,,,,,,
1.74153879,712.014,0.00141,0.13215859,,,,,,,,,,
1.739152388,712.991,0.001381,0.004405286,,,,,,,,,,
1.736689813,714.002,0.001406,0.114537445,,,,,,,,,,
1.734234203,715.013,0.001434,0.237885463,,,,,,,,,,
1.731870182,715.989,0.001402,0.0969163,,,,,,,,,,
1.729428173,717,0.001393,0.057268722,,,,,,,,,,
1.726995446,718.01,0.001397,0.074889868,,,,,,,,,,
1.724653505,718.985,0.001421,0.18061674,,,,,,,,,,
1.722234182,719.995,0.001431,0.224669604,,,,,,,,,,
1.719824023,721.004,0.001415,0.154185022,,,,,,,,,,
1.7174206,722.013,0.001433,0.233480176,,,,,,,,,,
1.715106911,722.987,0.001411,0.136563877,,,,,,,,,,
1.71271901,723.995,0.001418,0.167400881,,,,,,,,,,
1.71033775,725.003,0.001387,0.030837004,,,,,,,,,,
1.707963102,726.011,0.001394,0.061674009,,,,,,,,,,
1.7056795,726.983,0.001428,0.211453744,,,,,,,,,,
1.703320101,727.99,0.001404,0.105726872,,,,,,,,,,
1.700967219,728.997,0.001415,0.154185022,,,,,,,,,,
1.698623156,730.003,0.001394,0.061674009,,,,,,,,,,
1.696285545,731.009,0.001399,0.083700441,,,,,,,,,,
1.693954359,732.015,0.001411,0.136563877,,,,,,,,,,
1.691712654,732.985,0.001419,0.171806167,,,,,,,,,,
1.689396313,733.99,0.001417,0.162995595,,,,,,,,,,
1.687086307,734.995,0.001405,0.110132159,,,,,,,,,,
1.684784898,735.999,0.001411,0.136563877,,,,,,,,,,
1.682489759,737.003,0.001402,0.0969163,,,,,,,,,,
1.680200865,738.007,0.001422,0.185022026,,,,,,,,,,
1.677920461,739.01,0.001423,0.189427313,,,,,,,,,,
1.675646239,740.013,0.001416,0.158590308,,,,,,,,,,
1.673378173,741.016,0.001422,0.185022026,,,,,,,,,,
1.671195066,741.984,0.001407,0.118942731,,,,,,,,,,
1.668941272,742.986,0.001431,0.224669604,,,,,,,,,,
1.666695789,743.987,0.001413,0.145374449,,,,,,,,,,
1.664454106,744.989,0.00139,0.044052863,,,,,,,,,,
1.662220673,745.99,0.001388,0.035242291,,,,,,,,,,
1.659995448,746.99,0.001408,0.123348018,,,,,,,,,,
1.657776173,747.99,0.001447,0.295154185,,,,,,,,,,
1.655562825,748.99,0.001392,0.052863436,,,,,,,,,,
1.653355378,749.99,0.001401,0.092511013,,,,,,,,,,
1.651156009,750.989,0.001399,0.083700441,,,,,,,,,,
1.648962483,751.988,0.001419,0.171806167,,,,,,,,,,
1.646774778,752.987,0.001427,0.207048458,,,,,,,,,,
1.644595052,753.985,0.001414,0.149779736,,,,,,,,,,
1.642421088,754.983,0.001419,0.171806167,,,,,,,,,,
1.640179097,756.015,0.001444,0.281938326,,,,,,,,,,
1.638018948,757.012,0.001419,0.171806167,,,,,,,,,,
1.635864482,758.009,0.001436,0.246696035,,,,,,,,,,
1.633717828,759.005,0.001403,0.101321586,,,,,,,,,,
1.631576801,760.001,0.001413,0.145374449,,,,,,,,,,
1.629441378,760.997,0.001404,0.105726872,,,,,,,,,,
1.627311537,761.993,0.001416,0.158590308,,,,,,,,,,
1.625189387,762.988,0.001412,0.140969163,,,,,,,,,,
1.623000535,764.017,0.001389,0.039647577,,,,,,,,,,
1.620891726,765.011,0.00142,0.176211454,,,,,,,,,,
1.618788389,766.005,0.001405,0.110132159,,,,,,,,,,
1.616690504,766.999,0.001408,0.123348018,,,,,,,,,,
1.614600152,767.992,0.001449,0.303964758,,,,,,,,,,
1.612515199,768.985,0.001457,0.339207048,,,,,,,,,,
1.610364514,770.012,0.001428,0.211453744,,,,,,,,,,
1.608290478,771.005,0.001432,0.22907489,,,,,,,,,,
1.606223858,771.997,0.00147,0.396475771,,,,,,,,,,
1.604164618,772.988,0.001446,0.290748899,,,,,,,,,,
1.602040276,774.013,0.001447,0.295154185,,,,,,,,,,
1.599991742,775.004,0.001434,0.237885463,,,,,,,,,,
1.59794844,775.995,0.001469,0.392070485,,,,,,,,,,
1.595912405,776.985,0.001469,0.392070485,,,,,,,,,,
1.593811897,778.009,0.001452,0.317180617,,,,,,,,,,
1.591788426,778.998,0.001448,0.299559471,,,,,,,,,,
1.589768048,779.988,0.00145,0.308370044,,,,,,,,,,
1.587687738,781.01,0.001429,0.215859031,,,,,,,,,,
1.585679777,781.999,0.001437,0.251101322,,,,,,,,,,
1.583678912,782.987,0.001427,0.207048458,,,,,,,,,,
1.581616514,784.008,0.001435,0.242290749,,,,,,,,,,
1.579625883,784.996,0.001437,0.251101322,,,,,,,,,,
1.577574022,786.017,0.001453,0.321585903,,,,,,,,,,
1.575597552,787.003,0.001421,0.18061674,,,,,,,,,,
1.573626028,787.989,0.001446,0.290748899,,,,,,,,,,
1.571591706,789.009,0.001461,0.356828194,,,,,,,,,,
1.569630188,789.995,0.001441,0.268722467,,,,,,,,,,
1.567608159,791.014,0.001458,0.343612335,,,,,,,,,,
1.565660519,791.998,0.001449,0.303964758,,,,,,,,,,
1.563648699,793.017,0.001418,0.167400881,,,,,,,,,,
1.561710879,794.001,0.001432,0.22907489,,,,,,,,,,
1.559779819,794.984,0.001454,0.325991189,,,,,,,,,,
1.557785031,796.002,0.001425,0.198237885,,,,,,,,,,
1.555863661,796.985,0.001421,0.18061674,,,,,,,,,,
1.553882765,798.001,0.001423,0.189427313,,,,,,,,,,
1.551972946,798.983,0.001453,0.321585903,,,,,,,,,,
1.550001938,799.999,0.001444,0.281938326,,,,,,,,,,
1.548037862,801.014,0.001414,0.149779736,,,,,,,,,,
1.546144303,801.995,0.001436,0.246696035,,,,,,,,,,
1.544189985,803.01,0.001419,0.171806167,,,,,,,,,,
1.54230774,803.99,0.001415,0.154185022,,,,,,,,,,
1.540365017,805.004,0.001415,0.154185022,,,,,,,,,,
1.53842909,806.017,0.001419,0.171806167,,,,,,,,,,
1.536562759,806.996,0.001438,0.255506608,,,,,,,,,,
1.534636372,808.009,0.001425,0.198237885,,,,,,,,,,
1.53278112,808.987,0.001395,0.066079295,,,,,,,,,,
1.530866087,809.999,0.001416,0.158590308,,,,,,,,,,
1.528957719,811.01,0.001424,0.193832599,,,,,,,,,,
1.527116164,811.988,0.001435,0.242290749,,,,,,,,,,
1.525219004,812.998,0.00144,0.264317181,,,,,,,,,,
1.523326552,814.008,0.001444,0.281938326,,,,,,,,,,
1.521502263,814.984,0.001425,0.198237885,,,,,,,,,,
1.519619017,815.994,0.001425,0.198237885,,,,,,,,,,
1.517742285,817.003,0.001437,0.251101322,,,,,,,,,,
1.515870183,818.012,0.001405,0.110132159,,,,,,,,,,
1.514067396,818.986,0.00143,0.220264317,,,,,,,,,,
1.512206187,819.994,0.001427,0.207048458,,,,,,,,,,
1.510349548,821.002,0.001416,0.158590308,,,,,,,,,,
1.508499299,822.009,0.001403,0.101321586,,,,,,,,,,
1.506655407,823.015,0.001428,0.211453744,,,,,,,,,,
1.504876285,823.988,0.001424,0.193832599,,,,,,,,,,
1.503041234,824.994,0.001438,0.255506608,,,,,,,,,,
1.501212471,825.999,0.001428,0.211453744,,,,,,,,,,
1.499388153,827.004,0.001431,0.224669604,,,,,,,,,,
1.497568263,828.009,0.001443,0.27753304,,,,,,,,,,
1.49575459,829.013,0.001419,0.171806167,,,,,,,,,,
1.494004704,829.984,0.001431,0.224669604,,,,,,,,,,
1.492201442,830.987,0.001446,0.290748899,,,,,,,,,,
1.490402529,831.99,0.001443,0.27753304,,,,,,,,,,
1.488607947,832.993,0.001445,0.286343612,,,,,,,,,,
1.486819465,833.995,0.001445,0.286343612,,,,,,,,,,
1.485035276,834.997,0.001423,0.189427313,,,,,,,,,,
1.483257137,835.998,0.001445,0.286343612,,,,,,,,,,
1.481483251,836.999,0.001432,0.22907489,,,,,,,,,,
1.479713604,838,0.001447,0.295154185,,,,,,,,,,
1.47794994,839,0.001431,0.224669604,,,,,,,,,,
1.476190476,840,0.001427,0.207048458,,,,,,,,,,
1.474436949,840.999,0.001427,0.207048458,,,,,,,,,,
1.472687584,841.998,0.001426,0.202643172,,,,,,,,,,
1.470942364,842.997,0.001436,0.246696035,,,,,,,,,,
1.469203017,843.995,0.001394,0.061674009,,,,,,,,,,
1.467467778,844.993,0.001426,0.202643172,,,,,,,,,,
1.465738366,845.99,0.00143,0.220264317,,,,,,,,,,
1.464013025,846.987,0.001444,0.281938326,,,,,,,,,,
1.462234837,848.017,0.001434,0.237885463,,,,,,,,,,
1.46051945,849.013,0.001445,0.286343612,,,,,,,,,,
